"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","130.0","","","","1"
"2012-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","130.1","","","","1"
"2012-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","130.9","","","","1"
"2012-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","130.9","","","","1"
"2012-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","131.7","","","","1"
"2012-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","131.7","","","","1"
"2012-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","130.3","","","","1"
"2012-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","130.5","","","","1"
"2012-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","131.4","","","","1"
"2012-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","131.2","","","","1"
"2013-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","131.6","","","","1"
"2013-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","132.9","","","","1"
"2013-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","132.4","","","","1"
"2013-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","132.1","","","","1"
"2013-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","132.6","","","","1"
"2013-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","132.5","","","","1"
"2013-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","132.7","","","","1"
"2013-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","133.0","","","","1"
"2013-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","131.9","","","","1"
"2013-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","131.7","","","","1"
"2013-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","132.8","","","","1"
"2013-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","132.5","","","","1"
"2014-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","133.0","","","","1"
"2014-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","134.3","","","","1"
"2014-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","134.4","","","","1"
"2014-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","134.6","","","","1"
"2014-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","135.7","","","","1"
"2014-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","136.4","","","","1"
"2014-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","136.5","","","","1"
"2014-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","135.9","","","","1"
"2014-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","135.5","","","","1"
"2014-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","135.4","","","","1"
"2014-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","136.9","","","","1"
"2014-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","137.4","","","","1"
"2015-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","139.1","","","","1"
"2015-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","139.5","","","","1"
"2015-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","139.5","","","","1"
"2015-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","139.4","","","","1"
"2015-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","140.8","","","","1"
"2015-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","141.0","","","","1"
"2015-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","140.9","","","","1"
"2015-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","140.8","","","","1"
"2015-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","140.3","","","","1"
"2015-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","140.9","","","","1"
"2015-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","141.6","","","","1"
"2015-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","142.5","","","","1"
"2016-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","144.6","","","","1"
"2016-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","145.0","","","","1"
"2016-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","144.5","","","","1"
"2016-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","143.8","","","","1"
"2016-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","143.3","","","","1"
"2016-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","142.8","","","","1"
"2016-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","143.2","","","","1"
"2016-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","142.3","","","","1"
"2016-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","140.4","","","","1"
"2016-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","139.9","","","","1"
"2016-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","140.6","","","","1"
"2016-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","140.6","","","","1"
"2017-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","141.5","","","","1"
"2017-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","141.7","","","","1"
"2017-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","141.8","","","","1"
"2017-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","142.2","","","","1"
"2017-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","143.1","","","","1"
"2017-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","143.6","","","","1"
"2017-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","144.1","","","","1"
"2017-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","143.6","","","","1"
"2017-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","142.4","","","","1"
"2017-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","141.7","","","","1"
"2017-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","142.9","","","","1"
"2017-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","143.4","","","","1"
"2018-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","144.7","","","","1"
"2018-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","144.7","","","","1"
"2018-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","144.2","","","","1"
"2018-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","144.8","","","","1"
"2018-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","144.6","","","","1"
"2018-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","145.6","","","","1"
"2018-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","146.1","","","","1"
"2018-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","145.9","","","","1"
"2018-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","144.9","","","","1"
"2018-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","144.6","","","","1"
"2018-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","146.1","","","","1"
"2018-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","147.5","","","","1"
"2019-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","148.7","","","","1"
"2019-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","149.3","","","","1"
"2019-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","149.4","","","","1"
"2019-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","149.0","","","","1"
"2019-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","149.7","","","","1"
"2019-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","150.7","","","","1"
"2019-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","151.6","","","","1"
"2019-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","151.1","","","","1"
"2019-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","150.2","","","","1"
"2019-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","149.9","","","","1"
"2019-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","151.1","","","","1"
"2019-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","151.9","","","","1"
"2020-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","153.5","","","","1"
"2020-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","152.9","","","","1"
"2020-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","152.8","","","","1"
"2020-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","154.0","","","","1"
"2020-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","154.3","","","","1"
"2020-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","154.8","","","","1"
"2020-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.0","","","","1"
"2020-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","153.8","","","","1"
"2020-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","152.6","","","","1"
"2020-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","153.3","","","","1"
"2020-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","153.9","","","","1"
"2020-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","153.6","","","","1"
"2021-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.0","","","","1"
"2021-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.6","","","","1"
"2021-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.5","","","","1"
"2021-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","155.4","","","","1"
"2021-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","156.6","","","","1"
"2021-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","156.8","","","","1"
"2021-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","157.6","","","","1"
"2021-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","158.0","","","","1"
"2021-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","158.5","","","","1"
"2021-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","159.2","","","","1"
"2021-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","160.7","","","","1"
"2021-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","161.6","","","","1"
"2022-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","163.9","","","","1"
"2022-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","166.0","","","","1"
"2022-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","167.5","","","","1"
"2022-04","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","169.0","","","","1"
"2022-05","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","170.4","","","","1"
"2022-06","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","170.6","","","","1"
"2022-07","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","172.1","","","","1"
"2022-08","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","173.5","","","","1"
"2022-09","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","174.8","","","","1"
"2022-10","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","175.2","","","","1"
"2022-11","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","177.3","","","","1"
"2022-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","177.9","","","","1"
"2023-01","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","181.0","","","","1"
"2023-02","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","182.1","","","","1"
"2023-03","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","182.4","","","","1"
